Drug_Name,Target_Name,Mol_Desc_1,Mol_Desc_2,Mol_Desc_3,Mol_Desc_4,Mol_Desc_5,Mol_Desc_6,Mol_Desc_7,Mol_Desc_8,Mol_Desc_9,Mol_Desc_10,Mol_Desc_11,Mol_Desc_12,Mol_Desc_13,Mol_Desc_14,Mol_Desc_15,Mol_Desc_16,Mol_Desc_17,Mol_Desc_18,Mol_Desc_19,Mol_Desc_20,Prot_Desc_1,Prot_Desc_2,Prot_Desc_3,Prot_Desc_4,Prot_Desc_5,Prot_Desc_6,Prot_Desc_7,Prot_Desc_8,Prot_Desc_9,Prot_Desc_10,Prot_Desc_11,Prot_Desc_12,Prot_Desc_13,Prot_Desc_14,Prot_Desc_15,Prot_Desc_16,Prot_Desc_17,Prot_Desc_18,Prot_Desc_19,Prot_Desc_20,Binding_Affinity,Interaction_Label
Ibuprofen,SCN4A,0.0871,0.4483,0.4389,0.0801,0.0852,0.313,0.0792,0.9566,0.4102,0.6458,0.0891,0.8542,0.1701,0.9737,0.992,0.4498,0.2991,0.7116,0.7308,0.4751,0.3454,0.2077,0.9325,0.9916,0.9447,0.8277,0.6507,0.6542,0.0302,0.1654,0.3576,0.521,0.7727,0.472,0.4463,0.0397,0.8827,0.568,0.1101,0.2434,91.42,1
Metformin,SCN4A,0.4894,0.0171,0.8972,0.2927,0.3682,0.4453,0.4348,0.1668,0.3115,0.2931,0.1825,0.1638,0.116,0.7689,0.4358,0.0557,0.3764,0.4966,0.9883,0.4709,0.3306,0.8155,0.9491,0.6475,0.9916,0.3598,0.8082,0.912,0.5356,0.1439,0.799,0.3789,0.304,0.2711,0.616,0.2332,0.0149,0.2309,0.9121,0.0466,913.3,0
Metformin,HMGCR,0.0099,0.0605,0.6921,0.9399,0.4922,0.8074,0.1764,0.6528,0.291,0.6304,0.8428,0.3494,0.1776,0.1757,0.2047,0.1349,0.3328,0.1138,0.2124,0.8139,0.1033,0.8542,0.7943,0.9798,0.2327,0.3216,0.626,0.951,0.0102,0.2627,0.3984,0.5598,0.0581,0.7402,0.3318,0.6128,0.356,0.9124,0.9706,0.2865,181.23,1
Metformin,HMGCR,0.9687,0.1189,0.3606,0.2234,0.4132,0.2395,0.0651,0.6563,0.6627,0.0265,0.8537,0.725,0.0816,0.7473,0.9538,0.2774,0.6685,0.7621,0.1114,0.2609,0.8118,0.0704,0.6517,0.7652,0.7721,0.2322,0.3145,0.8743,0.6563,0.232,0.5115,0.0828,0.3279,0.75,0.9212,0.4066,0.8627,0.0933,0.8174,0.628,889.9,0
Levobupivacaine,KCNH2,0.7516,0.3432,0.8043,0.4723,0.4558,0.7829,0.3738,0.3551,0.9036,0.9884,0.4347,0.2096,0.1169,0.4025,0.0108,0.3143,0.9724,0.6097,0.1716,0.149,0.3128,0.0417,0.9116,0.3323,0.255,0.2664,0.8652,0.4487,0.5497,0.2238,0.6059,0.5089,0.6799,0.4,0.4194,0.1157,0.2697,0.4023,0.286,0.1454,682.38,0
Levobupivacaine,SCN4A,0.1589,0.1177,0.7381,0.3569,0.3691,0.204,0.9084,0.8652,0.8363,0.1736,0.72,0.0698,0.7066,0.2443,0.9618,0.5977,0.0324,0.6115,0.6929,0.6938,0.317,0.6423,0.8966,0.3636,0.412,0.2673,0.9168,0.5677,0.7598,0.5359,0.6847,0.0766,0.2511,0.0739,0.1226,0.834,0.6621,0.636,0.3945,0.6083,494.95,1
Levobupivacaine,KCNH2,0.3417,0.4261,0.7917,0.0863,0.9706,0.7101,0.1177,0.7823,0.349,0.9416,0.2201,0.979,0.0335,0.115,0.3174,0.5314,0.6407,0.2807,0.9311,0.5709,0.9864,0.9537,0.6815,0.3234,0.9043,0.863,0.1366,0.9299,0.6868,0.7556,0.6728,0.8396,0.0398,0.3925,0.9484,0.4795,0.2541,0.3733,0.2083,0.9985,849,0
Ibuprofen,SCN4A,0.1606,0.1786,0.641,0.1812,0.8032,0.799,0.0068,0.7196,0.7077,0.0683,0.8967,0.3462,0.864,0.102,0.7438,0.053,0.4694,0.5735,0.3342,0.5988,0.1738,0.7035,0.458,0.6611,0.5713,0.8361,0.5807,0.1533,0.7487,0.1741,0.6794,0.8198,0.1427,0.7074,0.2666,0.8238,0.4072,0.5212,0.3806,0.797,162.32,1
Levobupivacaine,CYP2D6,0.7666,0.7792,0.3794,0.2867,0.7367,0.8538,0.9351,0.0289,0.5274,0.7082,0.654,0.8786,0.8335,0.4034,0.326,0.007,0.958,0.9034,0.2099,0.4017,0.832,0.3473,0.9043,0.1771,0.8279,0.955,0.1588,0.4835,0.5117,0.5431,0.2595,0.8447,0.6769,0.7493,0.887,0.5858,0.7913,0.0459,0.8988,0.1418,92.14,1
Atorvastatin,TNF,0.0589,0.8715,0.3486,0.4633,0.4107,0.5103,0.5301,0.9906,0.4404,0.2221,0.8577,0.2206,0.6188,0.5618,0.6073,0.8136,0.3669,0.3825,0.1683,0.2947,0.6079,0.1558,0.9339,0.4126,0.9886,0.5207,0.1308,0.8557,0.0231,0.8434,0.36,0.5409,0.9659,0.2695,0.9061,0.1392,0.5186,0.4221,0.2008,0.6937,71.77,1
Metformin,TNF,0.8404,0.3896,0.6542,0.8745,0.8815,0.3287,0.5586,0.7184,0.2967,0.9653,0.3919,0.53,0.9172,0.6775,0.5666,0.1058,0.0588,0.5832,0.1307,0.7389,0.2404,0.3056,0.5761,0.3935,0.1932,0.548,0.6395,0.6038,0.2861,0.6204,0.672,0.5243,0.4549,0.2517,0.3815,0.7039,0.5724,0.289,0.46,0.3248,708.78,0
Ibuprofen,SCN4A,0.9422,0.5113,0.1309,0.5156,0.0933,0.7724,0.9285,0.9694,0.0812,0.3152,0.04,0.868,0.0893,0.8664,0.8261,0.1642,0.4308,0.1259,0.7205,0.6962,0.3304,0.5105,0.8135,0.8714,0.539,0.8774,0.5722,0.4968,0.7904,0.9797,0.1599,0.5742,0.4488,0.4236,0.4469,0.9227,0.8908,0.429,0.8792,0.3609,555.27,0
Metformin,KCNH2,0.6766,0.9535,0.8199,0.6519,0.1434,0.3209,0.7002,0.0868,0.1924,0.0396,0.9932,0.062,0.2558,0.1449,0.5964,0.9312,0.1602,0.3784,0.222,0.847,0.882,0.1494,0.9858,0.6779,0.4399,0.0463,0.1752,0.8268,0.2999,0.5796,0.7531,0.8405,0.421,0.4823,0.8295,0.8099,0.394,0.0333,0.495,0.7176,904.97,0
Levobupivacaine,HMGCR,0.213,0.5355,0.3703,0.426,0.9541,0.1481,0.8268,0.6943,0.5664,0.0335,0.7622,0.7538,0.4803,0.3139,0.8839,0.8481,0.2191,0.9459,0.9709,0.7916,0.7278,0.4715,0.6103,0.8336,0.2631,0.4363,0.1832,0.9231,0.0062,0.1794,0.1085,0.8145,0.6825,0.5873,0.4907,0.707,0.7047,0.204,0.5101,0.9872,81.15,1
Ibuprofen,SCN4A,0.3601,0.9951,0.6304,0.8701,0.567,0.8347,0.7705,0.7448,0.7287,0.8556,0.1664,0.1326,0.1367,0.0327,0.8336,0.9451,0.8882,0.2701,0.8698,0.5777,0.6413,0.4762,0.6547,0.5046,0.6838,0.1678,0.7795,0.098,0.3919,0.4941,0.4825,0.7245,0.9585,0.0766,0.5433,0.2642,0.4649,0.5499,0.466,0.1023,260.89,1
Hydroxychloroquine,SCN4A,0.4772,0.1421,0.4991,0.6626,0.1595,0.4112,0.6119,0.0647,0.0368,0.0697,0.6401,0.2281,0.6266,0.6647,0.4266,0.8631,0.5141,0.8064,0.5869,0.8316,0.3097,0.9923,0.8586,0.2319,0.6983,0.9108,0.1666,0.0213,0.4337,0.8607,0.1887,0.6791,0.4317,0.4319,0.7112,0.5301,0.1671,0.7578,0.7648,0.5046,630.53,0
Atorvastatin,HMGCR,0.6046,0.8622,0.5193,0.0906,0.9491,0.5708,0.6884,0.0645,0.3792,0.828,0.9456,0.3553,0.8333,0.0228,0.5707,0.8686,0.909,0.9084,0.7268,0.2587,0.8944,0.036,0.7559,0.6447,0.4019,0.8745,0.5545,0.4098,0.3203,0.2032,0.1884,0.0428,0.1269,0.1171,0.4871,0.1239,0.3812,0.3601,0.9674,0.3108,690.52,0
Levobupivacaine,SCN4A,0.6687,0.4972,0.738,0.4775,0.9748,0.9184,0.5607,0.7623,0.1658,0.1501,0.8983,0.2958,0.8492,0.0462,0.8238,0.235,0.37,0.9926,0.6516,0.6112,0.8634,0.4154,0.8515,0.2184,0.0574,0.1254,0.9727,0.5247,0.7439,0.5543,0.3639,0.5146,0.7087,0.4857,0.4354,0.7737,0.2228,0.6247,0.8776,0.5177,196.84,1
Levobupivacaine,CYP2D6,0.5542,0.0227,0.6267,0.8272,0.8815,0.1358,0.3554,0.7977,0.6021,0.2762,0.94,0.3735,0.3011,0.5981,0.8973,0.7857,0.7133,0.4266,0.9881,0.3327,0.1413,0.6259,0.7874,0.2515,0.7909,0.4694,0.2178,0.6088,0.406,0.3351,0.1329,0.0223,0.6928,0.0189,0.9667,0.4079,0.177,0.4507,0.2054,0.0248,820.34,0
Atorvastatin,HMGCR,0.3513,0.9722,0.2503,0.7337,0.2386,0.5572,0.2854,0.9102,0.8647,0.9812,0.1099,0.6953,0.15,0.1937,0.0891,0.3924,0.7938,0.231,0.121,0.7711,0.7834,0.3398,0.785,0.2317,0.5262,0.2938,0.7219,0.4196,0.2485,0.0676,0.5647,0.8726,0.0328,0.8026,0.4432,0.3795,0.3458,0.2898,0.13,0.0011,816.02,0
Atorvastatin,CYP2D6,0.8909,0.965,0.0742,0.9053,0.2785,0.5588,0.1759,0.772,0.9297,0.725,0.8542,0.2438,0.7782,0.6579,0.8085,0.9029,0.037,0.527,0.8896,0.9304,0.7919,0.1254,0.8647,0.5789,0.285,0.2466,0.6835,0.7479,0.6713,0.5796,0.4856,0.4314,0.5745,0.4097,0.3999,0.8814,0.1036,0.7241,0.878,0.9584,986.76,0
Hydroxychloroquine,TNF,0.0814,0.3833,0.8402,0.2277,0.407,0.8619,0.354,0.2404,0.8852,0.146,0.8913,0.6132,0.3545,0.3563,0.5383,0.482,0.9193,0.5635,0.6685,0.7152,0.9524,0.8608,0.9541,0.8226,0.7477,0.7742,0.6232,0.0875,0.4524,0.4545,0.7634,0.0736,0.2153,0.8181,0.1843,0.1021,0.3173,0.506,0.3609,0.0157,983.61,0
Levobupivacaine,HMGCR,0.4663,0.9541,0.8849,0.9772,0.5793,0.3413,0.5769,0.9687,0.8724,0.2704,0.1808,0.595,0.6538,0.2593,0.6128,0.7995,0.0386,0.8246,0.5548,0.292,0.1502,0.8779,0.5982,0.2572,0.3894,0.5117,0.7966,0.4885,0.6428,0.7718,0.8101,0.306,0.3616,0.5077,0.9539,0.5154,0.0191,0.6984,0.568,0.0953,547.16,0
Levobupivacaine,HMGCR,0.7756,0.141,0.1645,0.2851,0.9922,0.4012,0.5875,0.2672,0.6009,0.4758,0.7075,0.2423,0.0791,0.7605,0.3858,0.972,0.0169,0.1387,0.4254,0.2546,0.1272,0.799,0.1616,0.2958,0.4967,0.0054,0.537,0.4736,0.5506,0.7529,0.8116,0.1917,0.4568,0.6078,0.828,0.9155,0.3555,0.6126,0.9259,0.0039,533.4,0
Metformin,KCNH2,0.0609,0.6801,0.3095,0.0502,0.9561,0.5193,0.6834,0.7272,0.243,0.8851,0.6927,0.0797,0.4892,0.7413,0.0727,0.9314,0.7826,0.4239,0.991,0.1133,0.9241,0.9324,0.8508,0.9132,0.3312,0.0044,0.6799,0.9702,0.765,0.8032,0.0695,0.7192,0.9788,0.9201,0.7848,0.757,0.9992,0.9407,0.5904,0.1876,793.67,0
Ibuprofen,KCNH2,0.7053,0.1919,0.2823,0.4957,0.9211,0.1672,0.8794,0.5294,0.747,0.711,0.6887,0.2509,0.2988,0.0607,0.9456,0.2492,0.278,0.965,0.8221,0.6923,0.1354,0.356,0.8824,0.9914,0.187,0.9814,0.5295,0.4135,0.4206,0.8027,0.4111,0.5232,0.9518,0.4919,0.8512,0.3721,0.8744,0.8638,0.896,0.6583,869.66,0
Ibuprofen,HMGCR,0.8197,0.2466,0.9374,0.1103,0.0893,0.4707,0.6518,0.1223,0.7245,0.6951,0.5726,0.6499,0.678,0.7245,0.9364,0.5547,0.4549,0.9816,0.0176,0.9388,0.8526,0.9759,0.38,0.9582,0.7706,0.4214,0.6447,0.7377,0.5538,0.0331,0.7219,0.6057,0.3613,0.6686,0.035,0.7312,0.1291,0.3521,0.9768,0.9295,403.78,1
Metformin,TNF,0.6608,0.7793,0.2048,0.6813,0.7572,0.4361,0.1709,0.9271,0.1667,0.36,0.2381,0.2545,0.6113,0.9459,0.1961,0.3282,0.2693,0.5935,0.0396,0.2591,0.7534,0.3875,0.0691,0.4114,0.9663,0.8762,0.1756,0.1003,0.0819,0.9856,0.0772,0.8123,0.0584,0.7241,0.4411,0.5731,0.8281,0.0061,0.9478,0.0493,874.88,0
Ibuprofen,SCN4A,0.0129,0.3774,0.1665,0.9006,0.8768,0.1974,0.0257,0.5879,0.1948,0.6542,0.1076,0.2129,0.4535,0.4736,0.3863,0.4884,0.7447,0.5545,0.759,0.9887,0.3527,0.5018,0.3143,0.1382,0.9322,0.6863,0.2532,0.2042,0.7834,0.4139,0.6323,0.2682,0.8828,0.1516,0.8084,0.9313,0.9305,0.5678,0.4637,0.1647,173.86,1
Atorvastatin,KCNH2,0.1801,0.0071,0.1818,0.9213,0.3333,0.833,0.1969,0.0918,0.1093,0.1729,0.2458,0.9369,0.9327,0.5321,0.5926,0.0695,0.4075,0.135,0.5366,0.5437,0.3427,0.4018,0.1907,0.3851,0.6746,0.8664,0.5345,0.8747,0.9036,0.5972,0.5251,0.5636,0.2272,0.1456,0.262,0.6766,0.2598,0.042,0.5221,0.7283,163.61,1
Ibuprofen,TNF,0.3421,0.4142,0.7299,0.607,0.2196,0.431,0.9081,0.3834,0.4987,0.5693,0.9144,0.9586,0.5453,0.3384,0.5619,0.4309,0.575,0.9556,0.5668,0.723,0.1191,0.7137,0.1907,0.417,0.4521,0.402,0.5999,0.562,0.9123,0.8062,0.5841,0.2149,0.1232,0.084,0.7941,0.9359,0.784,0.6675,0.5532,0.409,606.48,0
Ibuprofen,TNF,0.2337,0.2281,0.888,0.5353,0.7484,0.3061,0.5677,0.765,0.3216,0.5602,0.2257,0.3994,0.014,0.7639,0.1232,0.578,0.7362,0.1845,0.3297,0.2264,0.173,0.2976,0.3844,0.9123,0.8533,0.9966,0.1149,0.3917,0.8729,0.6445,0.2339,0.8394,0.5532,0.5891,0.4907,0.3962,0.4815,0.2931,0.5478,0.5293,858.05,0
Metformin,KCNH2,0.9627,0.6833,0.3934,0.994,0.0908,0.1304,0.8486,0.6184,0.9001,0.6878,0.4318,0.7772,0.5245,0.7646,0.011,0.6582,0.3886,0.0376,0.926,0.1406,0.439,0.6413,0.3877,0.6846,0.5847,0.4816,0.0567,0.1699,0.5834,0.8157,0.2828,0.7472,0.7866,0.5957,0.3586,0.195,0.7456,0.6955,0.8149,0.4725,394.52,1
Hydroxychloroquine,SCN4A,0.6516,0.1944,0.1361,0.5794,0.9409,0.0897,0.2343,0.2235,0.0367,0.2427,0.4409,0.0718,0.0613,0.8916,0.9801,0.5348,0.0758,0.5166,0.2245,0.9918,0.7257,0.9663,0.2021,0.8856,0.7931,0.9499,0.8536,0.9875,0.9071,0.7559,0.9548,0.1597,0.899,0.2731,0.7014,0.2454,0.1997,0.7153,0.3419,0.3768,216.08,1
Ibuprofen,KCNH2,0.297,0.8423,0.5857,0.9275,0.1561,0.9602,0.7099,0.5694,0.3241,0.1168,0.9244,0.9047,0.961,0.7233,0.9836,0.0129,0.8801,0.6545,0.6803,0.3521,0.5759,0.12,0.2887,0.462,0.2429,0.7619,0.1445,0.9479,0.2982,0.1115,0.8672,0.8768,0.7484,0.885,0.6284,0.248,0.5789,0.8199,0.9908,0.6268,866.63,0
Ibuprofen,TNF,0.9297,0.2671,0.2099,0.9166,0.4575,0.9952,0.7317,0.3089,0.876,0.9673,0.115,0.3459,0.7418,0.9795,0.5517,0.4068,0.4268,0.6554,0.0627,0.1991,0.5254,0.3373,0.8719,0.4472,0.2765,0.5393,0.9074,0.7802,0.6149,0.0884,0.8579,0.7412,0.9566,0.6799,0.2992,0.3503,0.5456,0.5773,0.573,0.5935,263.1,1
Hydroxychloroquine,CYP2D6,0.7406,0.393,0.0642,0.2895,0.9828,0.8979,0.8095,0.5273,0.999,0.1532,0.4785,0.766,0.0076,0.9701,0.4413,0.5641,0.5251,0.8173,0.2788,0.8386,0.4168,0.8839,0.9753,0.1154,0.9798,0.2955,0.7669,0.8615,0.8522,0.571,0.5351,0.1199,0.5336,0.6782,0.6685,0.228,0.0915,0.9194,0.8378,0.5673,57.22,1
Metformin,KCNH2,0.2846,0.298,0.8862,0.0138,0.9882,0.4586,0.5355,0.318,0.723,0.3371,0.8095,0.6558,0.4878,0.4085,0.9586,0.9313,0.9738,0.732,0.9129,0.0796,0.4101,0.8435,0.5617,0.7687,0.9267,0.892,0.8456,0.1103,0.5679,0.3475,0.6275,0.219,0.8947,0.0404,0.6118,0.7255,0.7212,0.2388,0.0633,0.3811,762.44,0
Hydroxychloroquine,TNF,0.3789,0.6439,0.8708,0.4392,0.776,0.8079,0.7935,0.4963,0.9007,0.8711,0.0617,0.403,0.9433,0.7215,0.4707,0.9348,0.2818,0.2055,0.4301,0.1298,0.614,0.2253,0.8524,0.2604,0.5309,0.9656,0.2355,0.4033,0.3265,0.9703,0.9181,0.0462,0.4085,0.3915,0.6299,0.3447,0.0274,0.6917,0.5235,0.6495,23.15,1
Metformin,KCNH2,0.1994,0.1012,0.9759,0.8614,0.8392,0.8343,0.9354,0.8422,0.0161,0.5943,0.7457,0.0767,0.7983,0.0182,0.4723,0.1304,0.1394,0.9342,0.6379,0.8133,0.1454,0.5874,0.3913,0.6888,0.0985,0.7369,0.5844,0.7393,0.7716,0.2831,0.3174,0.9369,0.8581,0.2944,0.5678,0.9179,0.318,0.8801,0.403,0.4185,146.11,1
Atorvastatin,TNF,0.9711,0.4781,0.474,0.8361,0.9672,0.2998,0.9574,0.212,0.7717,0.2153,0.094,0.6155,0.2731,0.3857,0.123,0.5846,0.6574,0.2072,0.3382,0.4755,0.8006,0.9183,0.2528,0.0066,0.0923,0.1214,0.7605,0.627,0.0661,0.4109,0.7088,0.9064,0.4838,0.756,0.5691,0.7047,0.4909,0.9437,0.4335,0.986,103.35,1
Metformin,SCN4A,0.5173,0.3345,0.294,0.6037,0.9274,0.586,0.1254,0.0018,0.4616,0.4798,0.4524,0.072,0.6767,0.4084,0.3652,0.3939,0.3003,0.3672,0.6126,0.2714,0.1545,0.8575,0.227,0.1863,0.4044,0.5811,0.1321,0.5794,0.9694,0.2581,0.8154,0.1074,0.1498,0.6127,0.0411,0.0959,0.8759,0.1234,0.9482,0.3113,605.53,0
Atorvastatin,TNF,0.8961,0.8841,0.7698,0.1567,0.6221,0.9568,0.6243,0.155,0.6904,0.8409,0.158,0.9594,0.7677,0.8311,0.6479,0.7877,0.853,0.5889,0.041,0.4342,0.3358,0.5953,0.7797,0.3695,0.3882,0.1592,0.8043,0.0722,0.1816,0.9121,0.0609,0.3767,0.4476,0.4159,0.9417,0.6124,0.0499,0.9473,0.1863,0.0247,911.02,0
Atorvastatin,HMGCR,0.3465,0.0734,0.1805,0.1076,0.7346,0.2801,0.1135,0.8419,0.43,0.9892,0.3898,0.4288,0.6488,0.2728,0.7304,0.9392,0.8728,0.2786,0.2602,0.9754,0.6379,0.7049,0.2912,0.8962,0.9151,0.5699,0.8077,0.4764,0.4656,0.7202,0.4788,0.7967,0.1313,0.6618,0.9073,0.3396,0.8894,0.1831,0.2437,0.2206,328.06,1
Metformin,CYP2D6,0.8608,0.8297,0.2433,0.9547,0.5938,0.6629,0.9226,0.4151,0.5693,0.6431,0.0373,0.291,0.8962,0.214,0.9957,0.5654,0.0981,0.2598,0.9133,0.208,0.7194,0.3322,0.5202,0.6745,0.4749,0.3559,0.8287,0.5997,0.1404,0.2018,0.1383,0.3184,0.4246,0.6224,0.6654,0.6556,0.3371,0.0612,0.108,0.8217,282.66,1
Levobupivacaine,TNF,0.0539,0.1677,0.2557,0.4214,0.5065,0.6625,0.9554,0.7398,0.26,0.2536,0.8422,0.2083,0.2341,0.4624,0.7905,0.6727,0.9838,0.6362,0.1581,0.096,0.2549,0.4193,0.2639,0.4954,0.0414,0.9719,0.7438,0.2628,0.4831,0.3369,0.1447,0.1797,0.2803,0.1605,0.4864,0.6945,0.3905,0.7633,0.868,0.5663,561.54,0
Metformin,KCNH2,0.9821,0.0886,0.9516,0.6482,0.8808,0.4527,0.4996,0.0308,0.5741,0.8125,0.1338,0.0744,0.7465,0.2269,0.6809,0.9779,0.7618,0.9896,0.182,0.9269,0.2749,0.6788,0.5405,0.5132,0.5,0.8918,0.4985,0.1071,0.4969,0.1107,0.4337,0.4414,0.9465,0.2524,0.9606,0.1887,0.8096,0.9749,0.2297,0.3958,872.04,0
Ibuprofen,KCNH2,0.912,0.2023,0.7298,0.9059,0.738,0.4903,0.9599,0.1463,0.2908,0.8087,0.1875,0.7082,0.6037,0.1755,0.1821,0.6119,0.0613,0.2472,0.4912,0.2297,0.5485,0.5813,0.0532,0.0082,0.9298,0.665,0.2299,0.479,0.572,0.1161,0.6897,0.594,0.6271,0.907,0.4793,0.3776,0.2217,0.3792,0.8602,0.0067,499.61,1
Ibuprofen,TNF,0.3632,0.1027,0.1337,0.8699,0.8598,0.4564,0.7662,0.5689,0.2803,0.8892,0.4582,0.9906,0.966,0.4741,0.3597,0.7619,0.9885,0.6131,0.8042,0.9332,0.358,0.3691,0.6514,0.1277,0.3749,0.2629,0.6229,0.6909,0.2338,0.0463,0.5922,0.9564,0.4412,0.6747,0.3279,0.106,0.2185,0.0824,0.6446,0.7785,432.97,1
Levobupivacaine,HMGCR,0.7747,0.521,0.0928,0.5669,0.0959,0.5211,0.6959,0.7203,0.3271,0.1363,0.0195,0.4591,0.6839,0.2725,0.726,0.4566,0.0466,0.5665,0.2058,0.3529,0.807,0.4218,0.5492,0.5173,0.766,0.6337,0.7663,0.4058,0.8068,0.1707,0.2945,0.8823,0.0484,0.9369,0.2702,0.4925,0.1307,0.0351,0.2814,0.7144,287.93,1
Atorvastatin,TNF,0.7523,0.9882,0.8428,0.4879,0.5765,0.1488,0.5808,0.7879,0.2008,0.3651,0.9211,0.7046,0.4333,0.1217,0.4761,0.6401,0.1442,0.016,0.8667,0.0227,0.7854,0.372,0.0802,0.2347,0.4127,0.1518,0.647,0.6729,0.1779,0.877,0.7982,0.6796,0.8626,0.0376,0.2732,0.4364,0.9973,0.1301,0.1136,0.4685,192.9,1
Levobupivacaine,SCN4A,0.9013,0.0343,0.8023,0.7353,0.3295,0.7947,0.4068,0.643,0.2228,0.2336,0.4135,0.4845,0.1161,0.2554,0.7623,0.8632,0.2551,0.0464,0.0949,0.4801,0.6238,0.5042,0.0259,0.2707,0.4823,0.0222,0.1786,0.3456,0.2218,0.2374,0.2674,0.827,0.7012,0.2472,0.4749,0.3368,0.385,0.6553,0.9157,0.9304,274.13,1
Ibuprofen,HMGCR,0.3073,0.4611,0.671,0.3496,0.5134,0.6611,0.9638,0.7567,0.9315,0.2163,0.5298,0.4047,0.6367,0.7475,0.6619,0.8612,0.6322,0.9441,0.5193,0.2012,0.3026,0.3249,0.2994,0.1975,0.3154,0.8893,0.1206,0.4327,0.2603,0.7051,0.1598,0.4232,0.659,0.8895,0.8938,0.8884,0.1554,0.8008,0.9848,0.4886,761.72,0
Levobupivacaine,TNF,0.4655,0.3861,0.1961,0.6254,0.613,0.9738,0.1971,0.1658,0.4545,0.3654,0.8695,0.3627,0.9582,0.1089,0.4664,0.5798,0.9052,0.7229,0.3104,0.4595,0.2242,0.5628,0.302,0.0924,0.1059,0.1879,0.296,0.1063,0.965,0.4422,0.7258,0.0193,0.7586,0.9698,0.2312,0.967,0.6036,0.218,0.1528,0.1561,957.08,0
Metformin,CYP2D6,0.865,0.3396,0.4803,0.0232,0.8458,0.2456,0.8025,0.6582,0.6141,0.0475,0.5761,0.8949,0.3321,0.0953,0.335,0.9891,0.2391,0.1583,0.1652,0.5529,0.4298,0.193,0.2771,0.7488,0.5859,0.249,0.0889,0.4336,0.8944,0.2114,0.8231,0.7231,0.5049,0.9876,0.233,0.9067,0.2353,0.8515,0.0469,0.5007,900.5,0
Levobupivacaine,HMGCR,0.7786,0.3319,0.6027,0.8243,0.0319,0.146,0.3675,0.4253,0.5718,0.848,0.0797,0.7604,0.6573,0.4086,0.1602,0.4378,0.3725,0.3533,0.2724,0.6128,0.5983,0.0926,0.8836,0.3131,0.0443,0.2074,0.8598,0.3197,0.2389,0.4937,0.3992,0.3817,0.8918,0.214,0.4886,0.3295,0.0508,0.0346,0.6767,0.0002,109.35,1
Atorvastatin,TNF,0.3935,0.895,0.9321,0.998,0.164,0.3426,0.7532,0.9149,0.2654,0.8518,0.8031,0.8588,0.7859,0.1624,0.441,0.3023,0.1277,0.566,0.7791,0.9427,0.1473,0.9519,0.7416,0.9075,0.9224,0.7968,0.2991,0.8105,0.9597,0.9533,0.8248,0.0059,0.5528,0.1221,0.9785,0.3016,0.3085,0.6159,0.3396,0.1857,31.84,1
Metformin,CYP2D6,0.8457,0.019,0.1694,0.9547,0.9214,0.5097,0.1637,0.6153,0.0002,0.9434,0.9159,0.0965,0.8753,0.3873,0.674,0.4527,0.568,0.7173,0.0341,0.8284,0.2851,0.682,0.4456,0.2348,0.8297,0.2627,0.1793,0.2242,0.2324,0.7112,0.7321,0.6027,0.2705,0.8541,0.5257,0.6178,0.9097,0.7356,0.0344,0.311,654.66,0
Hydroxychloroquine,TNF,0.047,0.7749,0.5154,0.3599,0.9673,0.205,0.3733,0.5417,0.1043,0.0703,0.8082,0.3622,0.7655,0.916,0.0725,0.5024,0.7529,0.1254,0.9848,0.0091,0.7179,0.8474,0.2187,0.9009,0.2764,0.8418,0.1867,0.078,0.4613,0.3934,0.8812,0.1069,0.5746,0.6829,0.5623,0.2587,0.8045,0.1788,0.8924,0.7446,300.19,1
Ibuprofen,SCN4A,0.782,0.2529,0.1578,0.5311,0.0554,0.4606,0.9461,0.5783,0.8308,0.5713,0.1901,0.2086,0.4147,0.1477,0.3172,0.9172,0.4733,0.0065,0.7197,0.8903,0.1117,0.5499,0.4838,0.3801,0.4375,0.8236,0.4358,0.9952,0.4252,0.9163,0.1424,0.8519,0.1438,0.4318,0.8317,0.737,0.2972,0.8431,0.8661,0.9205,228.67,1
Ibuprofen,KCNH2,0.2068,0.3833,0.4438,0.2362,0.3318,0.6426,0.5573,0.8313,0.1094,0.0065,0.4811,0.1712,0.0084,0.7181,0.1346,0.0605,0.2896,0.649,0.3071,0.2074,0.9155,0.9533,0.6739,0.1885,0.2347,0.7813,0.4345,0.8392,0.4587,0.0778,0.8953,0.8628,0.5861,0.74,0.7465,0.2531,0.8582,0.4096,0.9601,0.0858,622.52,0
Levobupivacaine,TNF,0.2861,0.4201,0.2001,0.303,0.0097,0.0562,0.4912,0.0113,0.2068,0.5898,0.2995,0.8818,0.5892,0.0762,0.2919,0.5104,0.3081,0.5659,0.3798,0.2483,0.4449,0.5296,0.4172,0.9666,0.9716,0.5575,0.765,0.9759,0.8196,0.8753,0.8368,0.8385,0.4497,0.0728,0.1354,0.4674,0.1729,0.4403,0.8833,0.308,554.86,0
Metformin,HMGCR,0.4932,0.3047,0.8362,0.4573,0.7574,0.758,0.7521,0.8603,0.9128,0.0975,0.5981,0.8891,0.5525,0.7777,0.8069,0.1491,0.8387,0.7625,0.4053,0.8155,0.3208,0.8922,0.9343,0.3567,0.4706,0.0526,0.0263,0.5133,0.6993,0.2042,0.6104,0.7126,0.9037,0.3463,0.4973,0.888,0.8041,0.3353,0.0245,0.3385,925.48,0
